date time,outside temp,weather,curr_temp," ""main bedroom"""," ""bathroom"""," ""gust"""," ""agata's"""," ""leo's'"""," ""living room"""," ""kitchen"""," ""office""",set_temp," ""main bedroom"""," ""bathroom"""," ""gust"""," ""agata's"""," ""leo's'"""," ""living room"""," ""kitchen"""," ""office""",is_on," ""main bedroom"""," ""bathroom"""," ""gust"""," ""agata's"""," ""leo's'"""," ""living room"""," ""kitchen"""," ""office""",mode," ""main bedroom"""," ""bathroom"""," ""gust"""," ""agata's"""," ""leo's'"""," ""living room"""," ""kitchen"""," ""office"""
2019-02-03 14:20,1,niebo niewidoczne: niewielki deszcz, ,20.5,23.0,21.5,20.5,20.5,21.5,22.0,16.5, ,17.5,19.0,17.0,17.5,17.5,17.0,17.0,14.0, ,True,True,True,True,True,True,True,True, ,Comf,Comf,Auto,Comf,Auto,Comf,Comf,Econ
2019-02-03 14:50,1,niebo niewidoczne: niewielki deszcz, ,20.5,23.0,21.5,20.5,20.5,21.5,21.5,16.5, ,17.5,19.0,17.0,17.5,17.5,17.0,17.0,14.0, ,True,True,True,True,True,True,True,True, ,Comf,Comf,Auto,Comf,Auto,Comf,Comf,Econ
2019-02-03 14:57,1,niebo niewidoczne: niewielki deszcz, ,20.5,23.0,21.5,20.5,20.5,21.5,21.5,16.5, ,18.0,19.0,18.0,18.0,18.0,18.0,18.0,14.5, ,True,True,True,True,True,True,True,True, ,Comf,Comf,Auto,Comf,Auto,Comf,Comf,Econ
2019-02-03 16:03,1,niebo niewidoczne: niewielki deszcz, ,20.5,22.5,21.5,21.0,21.0,21.5,21.5,16.5, ,18.0,19.0,18.0,18.0,19.0,18.0,18.0,14.5, ,True,True,True,True,True,True,True,True, ,Comf,Comf,Auto,Comf,Auto,Comf,Comf,Econ
2019-02-03 17:09,1,niebo niewidoczne: niewielki deszcz, ,20.5,22.5,22.0,21.0,20.5,21.5,21.5,16.5, ,18.0,19.0,18.0,18.0,19.0,18.0,18.0,14.5, ,True,True,True,True,True,True,True,True, ,Comf,Comf,Auto,Comf,Auto,Comf,Comf,Econ
2019-02-03 18:16,1,niebo niewidoczne: niewielki deszcz, ,20.5,22.5,22.0,20.5,20.5,21.5,21.5,16.5, ,18.0,19.0,18.0,18.0,17.5,18.0,18.0,14.5, ,True,True,True,True,True,True,True,True, ,Comf,Comf,Auto,Comf,Auto,Comf,Comf,Econ
2019-02-03 19:18,1,niebo niewidoczne: niewielki deszcz, ,20.0,22.5,22.0,20.5,20.5,21.0,21.5,16.5, ,18.0,19.0,18.0,18.0,17.5,18.0,18.0,14.5, ,True,True,True,True,True,True,True,True, ,Comf,Comf,Auto,Comf,Auto,Comf,Comf,Econ
2019-02-03 19:26,1,niebo niewidoczne: niewielki deszcz, ,20.0,22.5,22.0,20.5,20.5,21.0,21.5,16.5, ,18.0->17.5,19.0,18.0->17.5,18.0->17.5,17.5,18.0,18.0,14.5->14.0, ,True,True,True,True,True,True,True,True, ,Comf,Comf,Auto,Comf,Auto,Comf,Comf,Econ
2019-02-03 20:32,1,niebo niewidoczne: niewielki deszcz, ,20.0,22.0,21.5,20.5,20.5,21.0,21.5,16.5, ,17.5,19.0,17.5,17.5,17.5,18.0,18.0,14.0, ,True,True,True,True,True,True,True,True, ,Comf,Comf,Auto,Comf,Auto,Comf,Comf,Econ
2019-02-03 21:39,1,niebo niewidoczne: niewielki deszcz, ,20.0,22.5,21.5,20.0,20.5,21.0,21.0,16.5, ,17.5,19.0,17.5,17.5,17.5,18.0,18.0,14.0, ,True,True,True,True,True,True,True,True, ,Comf,Comf,Auto,Comf,Auto,Comf,Comf,Econ
2019-02-03 22:45,1,niebo niewidoczne: niewielki deszcz, ,20.0,23.5,21.5,20.0,20.5,20.5,21.0,16.5, ,18.0,25.0,19.0,18.0,18.0,21.0,21.0,17.0, ,True,True,True,True,True,True,True,True, ,Comf,Comf,Auto,Comf,Auto,Comf,Comf,Econ
2019-02-03 23:52,1,niebo niewidoczne: niewielki deszcz, ,20.0,ffline,21.0,20.0,20.0,21.5,21.0,17.0, ,18.5->19.0,25.0,19.5,18.5->19.0,18.5->19.0,21.5,21.5,17.0, ,True,True,True,True,True,True,True,True, ,Comf,Comf,Auto,Comf,Auto,Comf,Comf,Econ
2019-02-04 00:58,1,niebo niewidoczne: bez istot. opadw, ,19.5,23.5,20.5,20.0,20.0,21.5,21.5,17.0, ,19.5,25.0,20.0,19.5,19.5,21.5,21.5,17.0, ,True,True,True,True,True,True,True,True, ,Comf,Comf,Auto,Comf,Auto,Comf,Comf,Econ
2019-02-04 02:04,0,niebo niewidoczne: niewielki deszcz, ,20.0,ffline,20.5,20.0,20.0,21.5,21.5,17.0, ,20.0,25.0,20.5,20.0,20.0,22.0,22.0,17.0, ,True,True,True,True,True,True,True,True, ,Comf,Comf,Auto,Comf,Auto,Comf,Comf,Econ
2019-02-04 03:11,0,niebo niewidoczne: bez istot. opadw, ,20.0,24.0,20.5,20.0,20.0,22.0,22.0,17.5, ,20.5,25.0,21.0,20.5,20.5,22.0,22.0,17.0, ,True,True,True,True,True,True,True,True, ,Comf,Comf,Auto,Comf,Auto,Comf,Comf,Econ
2019-02-04 04:17,0,niebo niewidoczne: bez istot. opadw, ,20.5,24.0,21.0,20.5,20.5,22.0,22.0,17.5, ,21.0,25.0,21.0,21.0,21.0,22.5,22.5,17.0, ,True,True,True,True,True,True,True,True, ,Comf,Comf,Auto,Comf,Auto,Comf,Comf,Econ
2019-02-04 05:23,0,niebo niewidoczne: bez istot. opadw, ,20.5,24.5,21.0,20.5,20.5,22.0,22.5,17.5, ,21.5,25.0,21.5,21.5,21.5,22.5,22.5,17.0, ,True,True,True,True,True,True,True,True, ,Comf,Comf,Auto,Comf,Auto,Comf,Comf,Econ
2019-02-04 06:30,0,niebo niewidoczne: bez opadw, ,20.5,25.0,21.0,20.5,21.0,22.5,22.5,17.5, ,19.0,20.0,19.0,19.0,19.0,19.0,19.0,16.0, ,True,True,True,True,True,True,True,True, ,Comf,Comf,Auto,Comf,Auto,Comf,Comf,Econ
2019-02-04 07:36,0,niebo niewidoczne: bez opadw, ,20.0,24.0,20.5,20.0,20.5,21.5,22.0,17.5, ,18.5,20.0->19.5,18.5,18.5,18.5,19.0->18.5,19.0->18.5,15.5, ,True,True,True,True,True,True,True,True, ,Comf,Comf,Auto,Comf,Auto,Comf,Comf,Econ
